ticker,trends_score,trading_signal,confidence,current_price,rsi,macd,macd_signal,trend_strength,momentum_20d,momentum_50d,volume_ratio,volatility,position_52w,bb_position,week_52_high,week_52_low,current_ma_20,current_ma_50,current_ma_200,individual_scores,data_quality,success
MDB,71.8,BUY,MEDIUM,241.3699951171875,74.2124793625803,7.7668341397643985,5.101513762763167,3.9026166525343102,15.377628412157405,23.21082319417016,1.6813663825112035,0.6155223004552572,46.75934481322923,110.81348630578086,350.1300048828125,145.85000610351562,215.0207489013672,206.0054995727539,235.02874938964842,"{'price_trend_score': 95, 'moving_average_signal_score': 95, 'trend_strength_score': 80, 'rsi_signal_score': 15, 'macd_signal_score': 90, 'momentum_score_score': 95, 'volume_trend_score': 65, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
CRSP,71.6,BUY,MEDIUM,64.76000213623047,69.31398106594128,5.5314776544378645,4.91950838229194,15.866800091457936,38.67237918253571,73.99247719585938,0.6465972017067856,0.5969960839979973,90.83266245908409,78.18139410101568,68.13999938964844,31.270000457763672,57.25499954223633,47.11509979248047,44.161374969482424,"{'price_trend_score': 95, 'moving_average_signal_score': 95, 'trend_strength_score': 95, 'rsi_signal_score': 30, 'macd_signal_score': 75, 'momentum_score_score': 95, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
NTLA,71.0,BUY,MEDIUM,13.595000267028809,69.19104900988046,1.0652872281182404,0.936453601936468,14.993474571941936,41.46722947677416,63.4014515107027,0.8710338569703225,0.8042252195723172,35.40658248990743,86.1004652039279,26.940000534057617,6.28000020980835,11.674999952316284,9.861799974441528,11.275650012493134,"{'price_trend_score': 95, 'moving_average_signal_score': 95, 'trend_strength_score': 95, 'rsi_signal_score': 30, 'macd_signal_score': 60, 'momentum_score_score': 95, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
SNPS,70.1,BUY,MEDIUM,601.5499877929688,74.06201261173936,28.828655519803192,25.59872052904279,10.119145789687064,21.353635864291405,16.645006333591063,0.7463901711759193,0.41137478792346627,94.20227278619886,78.02090639256208,615.1300048828125,380.8999938964844,563.4615051269532,518.4968011474609,498.77600036621095,"{'price_trend_score': 90, 'moving_average_signal_score': 90, 'trend_strength_score': 95, 'rsi_signal_score': 15, 'macd_signal_score': 90, 'momentum_score_score': 95, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
AMD,69.6,HOLD,LOW,166.47000122070312,86.46098852972725,9.19407971411212,8.528774014675045,9.255027315234644,15.861643726797995,48.02596707800225,1.090412208183638,0.5278843667310317,93.30795901727208,93.00698049001606,172.8000030517578,78.20999908447266,148.90750122070312,131.74640014648438,123.34680019378662,"{'price_trend_score': 97, 'moving_average_signal_score': 97, 'trend_strength_score': 95, 'rsi_signal_score': 5, 'macd_signal_score': 75, 'momentum_score_score': 95, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
IDXX,69.1,HOLD,LOW,565.1900024414062,61.40880983259502,5.797693359136247,3.943936590287408,0.5637826647359779,7.088175199499302,11.010939646249525,2.2371621551085177,0.31538235068048565,100.0,110.05854591506616,565.1900024414062,361.0400085449219,536.0105041503906,526.0594006347657,457.4143486022949,"{'price_trend_score': 97, 'moving_average_signal_score': 97, 'trend_strength_score': 60, 'rsi_signal_score': 30, 'macd_signal_score': 90, 'momentum_score_score': 60, 'volume_trend_score': 75, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
BKR,69.0,HOLD,LOW,46.04999923706055,77.70700811048532,1.447125192232015,0.763386813787782,3.2766303423132284,20.172232786526873,20.61288336558208,0.7013619136221836,0.3699162748782453,85.81557174608056,111.57819866030148,48.30876922607422,32.38447570800781,40.31300029754639,38.85500045776367,40.59634145736695,"{'price_trend_score': 100, 'moving_average_signal_score': 100, 'trend_strength_score': 80, 'rsi_signal_score': 15, 'macd_signal_score': 75, 'momentum_score_score': 95, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
ILMN,68.8,HOLD,LOW,109.30000305175781,71.50443328707084,3.903171142915639,3.244358755769648,4.722617287871848,16.079013169942,36.114568988631156,0.8261175417279529,0.41944154987080345,45.96346989756199,112.72111305453562,155.14999389648438,70.30000305175781,99.38700065612792,90.95780059814453,109.46050006866454,"{'price_trend_score': 95, 'moving_average_signal_score': 95, 'trend_strength_score': 80, 'rsi_signal_score': 15, 'macd_signal_score': 75, 'momentum_score_score': 95, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
CDNS,68.6,HOLD,LOW,332.19000244140625,63.326629178125295,5.415645849023974,4.785928305985965,3.315758337297752,9.384569716119902,4.2459042941715985,1.6894290243371772,0.41629629383048633,100.0,99.1080252463896,332.19000244140625,231.63999938964844,318.8035003662109,309.7823992919922,290.0758996582031,"{'price_trend_score': 90, 'moving_average_signal_score': 90, 'trend_strength_score': 80, 'rsi_signal_score': 30, 'macd_signal_score': 75, 'momentum_score_score': 80, 'volume_trend_score': 65, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
CAT,68.3,HOLD,LOW,433.75,84.13228100338998,15.990719107588689,14.697451080246989,6.332703015904485,13.998885606737563,23.486396497891764,0.8443761858815155,0.3056542408487481,100.0,98.9454334852431,433.75,271.63226318359375,405.6793502807617,374.7667156982422,360.2190919494629,"{'price_trend_score': 92, 'moving_average_signal_score': 92, 'trend_strength_score': 95, 'rsi_signal_score': 5, 'macd_signal_score': 90, 'momentum_score_score': 80, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
