ticker,valuation_score,trading_signal,confidence,sector,industry,market_cap,current_price,pe_ratio,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,ev_sales,dividend_yield,fcf_yield,earnings_yield,position_52w,upside_to_target,graham_number,graham_discount,beta,individual_scores,data_completeness,success
CSCO,58.4,HOLD,LOW,Technology,Communication Equipment,272012410880.0,68.69,28.036736,5.9215517,4.8902864,1.5,19.425,5.148,239.0,4.26317865515181,3.5667489967448422,95.68829113924049,4.223191148638807,25.28734861546382,-63.18627367089268,0.899,"{'pe_ratio_score': 20, 'forward_pe_score': 60, 'pb_ratio_score': 40, 'ps_ratio_score': 80, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 60}",100.0,True
ETSY,58.0,HOLD,LOW,Consumer Cyclical,Internet Retail,6513453568.0,62.46,45.260868,-7.2133036,2.315027,1.5,17.879,2.855,0.0,9.87818522513186,2.2094141013822357,85.33891850723533,-12.09484470060839,62.46,0.0,1.741,"{'pe_ratio_score': 20, 'forward_pe_score': 40, 'pb_ratio_score': 100, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 100, 'ev_fcf_score': 60, 'dividend_yield_score': 20, 'fcf_yield_score': 100, 'earnings_yield_score': 60}",100.0,True
FLWS,57.6,HOLD,LOW,Consumer Cyclical,Specialty Retail,405535136.0,6.38,20.0,1.2762552,0.23716226,1.5,136.013,0.351,0.0,5.0,5.0,38.009049773755656,41.06583072100314,6.38,0.0,1.482,"{'pe_ratio_score': 40, 'forward_pe_score': 40, 'pb_ratio_score': 80, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
ESTC,57.4,HOLD,LOW,Technology,Software - Application,9483375616.0,89.86,20.0,10.227634,6.393448,1.5,-208.18,5.853,0.0,3.871572305757334,5.0,41.85393258426966,22.983618962831073,89.86,0.0,1.069,"{'pe_ratio_score': 60, 'forward_pe_score': 20, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 60, 'earnings_yield_score': 80}",100.0,True
AAPL,56.8,HOLD,LOW,Technology,Consumer Electronics,1000000000.0,213.88,33.314644,47.837173,7.9788713,1.5,23.362,8.103,49.0,9725.1500032,3.0016829836152534,49.147320937396834,7.827557508883485,25.413302618904137,-88.11796211945757,1.199,"{'pe_ratio_score': 20, 'forward_pe_score': 20, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 80, 'ev_fcf_score': 100, 'dividend_yield_score': 100, 'fcf_yield_score': 100, 'earnings_yield_score': 60}",100.0,True
DOCU,56.4,HOLD,LOW,Technology,Software - Application,16138773504.0,79.87,15.18441,8.008624,5.3250046,1.5,51.897,5.056,0.0,7.062891512279321,6.585702045716626,52.60751777853032,10.962952297483401,34.35556068528063,-56.98565082599145,1.086,"{'pe_ratio_score': 60, 'forward_pe_score': 40, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 60, 'dividend_yield_score': 20, 'fcf_yield_score': 100, 'earnings_yield_score': 100}",100.0,True
AMAT,55.6,HOLD,LOW,Technology,Semiconductor Equipment & Materials,149015855104.0,185.69,22.562578,7.8592286,5.305132,1.5,17.031,5.302,99.0,2.510387237243444,4.432117641875853,67.3662461939974,9.6080833647477,66.14476339817084,-64.37893079962797,1.688,"{'pe_ratio_score': 40, 'forward_pe_score': 40, 'pb_ratio_score': 40, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 60, 'earnings_yield_score': 80}",100.0,True
ARKK,54.8,HOLD,LOW,Unknown,Unknown,1000000000.0,76.79,49.40453,2.5,4.0,1.5,15.0,4.0,0.0,5.0,2.024105886646427,94.33160132262638,10.000000000000002,36.64355013600605,-52.280830660234344,1.0,"{'pe_ratio_score': 20, 'forward_pe_score': 60, 'pb_ratio_score': 60, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 60}",100.0,True
ES,54.0,HOLD,LOW,Utilities,Utilities - Regulated Electric,24475189248.0,66.62,29.2193,1.5950392,1.9292175,1.5,12.32,4.253,451.99999999999994,5.0,3.422395471486312,85.71428571428571,4.927454217952561,46.28873621087532,-30.518258464612252,0.636,"{'pe_ratio_score': 20, 'forward_pe_score': 60, 'pb_ratio_score': 60, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 60}",100.0,True
CSX,54.0,HOLD,LOW,Industrials,Railroads,66666651648.0,35.76,21.93865,5.388788,4.70976,1.5,12.963,6.077,145.0,2.329500428789857,4.558165611831175,87.68382352941173,6.71140939597315,15.600490376908027,-56.37446762609611,1.23,"{'pe_ratio_score': 40, 'forward_pe_score': 60, 'pb_ratio_score': 20, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 60, 'earnings_yield_score': 80}",100.0,True
